transfer_time_us,compression_time_us,total_time_us,folder_sizes_mb
544929.0,0.0,544929.0,1606.084309
523107.7,111276.5679144385,634384.2679144385,1108.881918
497235.1,97428.68288770053,594663.7828877005,807.770713
487217.9,86267.97165775401,573485.8716577541,596.683451
480486.2,80094.01818181819,560580.2181818183,480.034904
476917.8,74915.57005347594,551833.370053476,384.19195
482312.7,72461.79839572193,554774.4983957219,337.670355
479993.7,70446.44385026737,550440.1438502674,292.291596
470115.7,68592.2743315508,538707.9743315508,264.380274
471175.8,67198.37219251337,538374.1721925134,237.68109
459368.0,65842.44545454545,525210.4454545454,216.47789
462548.9,64662.08395721925,527210.9839572193,197.770574
459748.8,63919.79465240642,523668.5946524064,186.192442
461983.6,63594.205882352944,525577.8058823529,173.810036
470493.1,62920.61497326203,533413.714973262,163.003438
465885.8,62389.4320855615,528275.2320855615,153.32992
456938.0,61975.50962566845,518913.50962566846,146.191828
453037.2,61654.4,514691.60000000003,139.43973
457497.8,61894.30748663101,519392.107486631,133.249292
453962.5,61188.274331550805,515150.7743315508,127.621629
468158.3,60497.22780748663,528655.5278074866,123.70674
460040.8,60355.43743315508,520396.23743315507,119.324135
464343.8,59961.2449197861,524305.044919786,115.375232
463679.1,59619.455080213906,523298.5550802139,111.624511
457992.4,59523.22834224599,517515.628342246,108.553581
462873.4,59013.78502673797,521887.185026738,105.881165
452338.3,59147.27272727273,511485.5727272727,103.021836
463072.0,59000.155614973264,522072.1556149733,100.76607
461129.8,58826.52245989305,519956.32245989307,98.75644
449943.5,58424.352406417114,508367.85240641714,96.66843
453136.6,58692.48128342246,511829.0812834224,94.919851
