transfer_time_us,compression_time_us,total_time_us,folder_sizes_mb
1221163.6,0.0,1221163.6,1606.084309
971471.0,1112765.679144385,2084236.679144385,1108.881918
826665.4,974286.8288770053,1800952.2288770052,807.770713
729886.5,862679.7165775402,1592566.2165775402,596.683451
673431.5,800940.1818181819,1474371.6818181819,480.034904
625607.5,749155.7005347593,1374763.2005347593,384.19195
607693.0,724617.9839572193,1332310.9839572194,337.670355
584300.6,704464.4385026738,1288765.0385026736,292.291596
571986.3,685922.743315508,1257909.043315508,264.380274
558164.8,671983.7219251337,1230148.5219251337,237.68109
545792.7,658424.4545454545,1204217.1545454543,216.47789
538693.7,646620.8395721925,1185314.5395721924,197.770574
534970.9,639197.9465240642,1174168.8465240642,186.192442
528322.1,635942.0588235294,1164264.1588235293,173.810036
527209.1,629206.1497326203,1156415.2497326203,163.003438
523294.6,623894.320855615,1147188.9208556148,153.32992
511194.2,619755.0962566845,1130949.2962566845,146.191828
517047.3,616544.0,1133591.3,139.43973
508932.7,618943.0748663101,1127875.7748663102,133.249292
508703.8,611882.743315508,1120586.543315508,127.621629
506619.0,604972.2780748664,1111591.2780748664,123.70674
502587.1,603554.3743315508,1106141.4743315508,119.324135
502930.7,599612.449197861,1102543.149197861,115.375232
498994.3,596194.5508021391,1095188.8508021391,111.624511
500191.0,595232.2834224598,1095423.2834224598,108.553581
494265.1,590137.8502673797,1084402.9502673796,105.881165
495703.7,591472.7272727273,1087176.4272727272,103.021836
503610.7,590001.5561497327,1093612.2561497327,100.76607
505485.4,588265.2245989305,1093750.6245989306,98.75644
505670.7,584243.5240641711,1089914.224064171,96.66843
488659.7,586924.8128342245,1075584.5128342246,94.919851
